43.218.58.59;200;3dsecuredebit.bri.co.id;;
43.218.55.163;200;3dsecure2.bri.co.id;;
43.218.62.44;200;3dsecure.bri.co.id;;
103.63.99.27;200;addons.cms.bri.co.id;;addons.cms.nsgt.bri.co.id
103.63.99.27;;addons.cms.nsgt.bri.co.id;;
45.60.16.106;200;agen.bri.co.id;;x367dd5.impervadns.net
103.63.96.51;200;api.bri.co.id;;
103.63.99.16;200;api.briguna.bri.co.id;;api.briguna.nsgt.bri.co.id
45.60.16.106;200;api.privateopen.bri.co.id;;9ksblz9.impervadns.net
103.63.99.136;200;api.brispot.bri.co.id;;api.brispot.nsgt.bri.co.id
103.63.99.32;200;api-bristars-approval.bri.co.id;;
103.63.99.172;200;api-klasterkuhidupku.bri.co.id;;
103.63.96.15;200;app.keceku.bri.co.id;;app.keceku.nsgt.bri.co.id
103.63.96.141;200;api.bristars.bri.co.id;nginx;api.bristars.nsgt.bri.co.id
103.63.96.161;404;api.briconnect.bri.co.id;;
103.63.96.88;200;apisunmi.bri.co.id;;apisunmi.nsgt.bri.co.id
103.63.99.186;200;api-staging.brispot.bri.co.id;Brispot;api-staging.brispot.nsgt.bri.co.id
103.63.96.216;200;api.panen.bri.co.id;;
103.63.96.116;200;app.ceria.bri.co.id;;
103.63.99.18;200;api.privateopen.sandbox.bri.co.id;;
103.63.96.146;;apimybri.nsgt.bri.co.id;;
103.63.99.16;;api.briguna.nsgt.bri.co.id;;
103.63.96.146;422;apimybri.bri.co.id;;apimybri.nsgt.bri.co.id
103.63.99.15;200;app.briguna.bri.co.id;;app.briguna.nsgt.bri.co.id
103.63.96.15;;app.keceku.nsgt.bri.co.id;;
103.63.99.96;;api.bridina.bri.co.id;;
103.63.96.182;200;apps.bri.co.id;;
103.63.96.141;;api.bristars.nsgt.bri.co.id;;
103.63.96.88;;apisunmi.nsgt.bri.co.id;;
103.63.99.136;;api.brispot.nsgt.bri.co.id;;
103.63.96.189;;apidocs.bri.co.id;;
103.63.99.173;200;assets-klasterkuhidupku.bri.co.id;;
180.233.157.10;;3dsecuredebit2.bri.co.id;;
103.63.96.75;200;biz.bri.co.id;;
103.63.96.96;200;bot.bri.co.id;;
103.63.96.181;401;bribook.bri.co.id;;
103.63.96.40;200;bribrain.bri.co.id;;
103.63.96.106;200;briboxapps.bri.co.id;;
103.63.96.224;200;bricard.bri.co.id;;
34.107.233.59;;brichain.bri.co.id;;
103.63.99.144;200;brifast.bri.co.id;;
103.63.96.155;404;brieazycash-api.bri.co.id;;
103.63.99.204;200;brifun.bri.co.id;;
34.102.255.60;404;bridge.bri.co.id;istio-envoy;
45.60.16.106;200;briefx.bri.co.id;;tlya3dl.impervadns.net
103.63.99.30;200;brifrens.bri.co.id;;
103.63.96.12;200;brieazycash.bri.co.id;;
103.63.96.97;200;brilinkmobile.bri.co.id;;brilinkmobile.nsgt.bri.co.id
103.63.99.40;200;brigate.privateopen.sandbox.bri.co.id;;
103.63.99.159;200;brimo.bri.co.id;;erangel-brimo.apps.public-dc.nsgt.bri.co.id
